name,prompt,negative_prompt
"ネネカ","neneka \(princess connect!\),pink long curly hair,pointy ears",""
"マホ","maho \(princess connect!\),animal ears,fox tail,pink dress",""
"カスミ","kasumi \(princess connect!\),purple hair,animal ears,red robe",""
"シズル","shizuru \(princess connect!\),white dress,elbow gloves",""
"ハツネ","hatsune \(princess connect!\),pink hair,star hair ornament,pointy ears",""
"シオリ","shiori \(princess connect!\),black long hair",""
"マコト","makoto \(princess connect!\),short purple hair,cat ears",""
"ミミ","mimi \(princess connect!\),pink hair,bunny hair ornament,bunny hat,blue shorts,pink shirt",""
"ミソギ","misogi \(princess connect!\),orange hair,side ponytail",""
"クロエ","chloe \(princess connect!\),elf,st. theresa's girls academy school uniform",""
"ユニ","yuni \(princess connect!\),st. theresa's girls academy school uniform,twin braids",""
"クリスティーナ","christina \(princess connect!\),black thighhighs,armor,black dress",""
"キョウカ","kyouka \(princess connect!\),very long twintails,purple hair,hair ribbon,wide sleeves",""
"チエル","chieru \(princess connect!\),pink short hair,star hair ornament,hooded jacket,pleated skirt,white shirt",""
"ユイ","yui \(princess connect!\),pink hair,hair ribbon,white dress,long sleeves,frilled skirt",""
"ユイ（儀装束）","yui \(ceremonial\) \(princess connect!\),bare shoulders,white bridal gauntlets",""
"サレン","saren \(princess connect!\),long blonde hair,white cloak,white gloves,dress",""
"サレン（水着）","saren \(princess connect!\),light cyan bikini",""
"イリヤ","ilya \(princess connect!\),black long hair,red eyes,hair ornament,bare shoulders",""
"コッコロ","kokkoro \(princess connect!\),white hair,elf ears,flower hair ornament",""
"コッコロ（公式衣装）","kokkoro \(princess connect!\),white hair,elf ears,flower hair ornament,green cape,detached sleeves,short dress,pouch",""
"キャル","karyl \(princess connect!\),cat ears,long black hair",""
"キャル（公式衣装）","karyl \(princess connect!\),cat ears,long black hair,detached sleeves,frilled skirt,black thighhighs",""
"ペコリーヌ","pecorine \(princess connect!\),orange long hair",""
"ペコリーヌ（公式衣装）","pecorine \(princess connect!\),orange long hair,tiara,shoulder armor,white dress,gloves,boots",""
"ユイ（儀装束）","yui \(ceremonial\) \(princess connect!\),bare shoulders,bridal gauntlets",""
※ミュウイチゴ（変身）,"mew ichigo,short hair,pink hair,red hair,pink eyes,red eyes,eyelashes,eyebrows visible through hair,cat ears,fang,pink dress,frills,puffy detached sleeves,detached sleeves,puffy short sleeves,arm garter,bubble skirt,bare shoulders,pink bow,red bow,pink choker,bowtie,red neckwear,detached collar,brooch,red gloves,pink gloves,cat tail,tail bell,tail bow,red footwear,pink footwear,knee boots",""
※桃宮いちご（私服その1）,"momomiya ichigo,short hair,short twintails,red hair,pink hair,sidelocks,brown eyes,red eyes,eyelashes,eyebrows visible through hair,hair ribbon,red ribbon,neck bell,red choker,blouse,off-shoulder shirt,white shirt,blue skirt,high-waist skirt,miniskirt,ankle boots,lace-up boots,pink footwear,bare shoulders",""
